Price,Close,High,Low,Open,Volume
Ticker,^HSI,^HSI,^HSI,^HSI,^HSI
2009-01-01,14387.48046875,14527.099609375,14302.150390625,14377.509765625,1612200000.0
2009-01-02,15042.8095703125,15042.8095703125,14412.1201171875,14448.2197265625,1752400000.0
2009-01-05,15563.3095703125,15563.3095703125,15128.3203125,15349.330078125,2172600000.0
2009-01-06,15509.509765625,15651.6103515625,15367.9296875,15612.4697265625,2484500000.0
2009-01-07,14987.4599609375,15763.5498046875,14976.740234375,15759.5302734375,9799100000.0
2009-01-08,14415.91015625,14755.8095703125,14334.150390625,14755.8095703125,4374400000.0
2009-01-09,14377.4404296875,14673.599609375,14297.41015625,14530.830078125,3332500000.0
2009-01-12,13971.0,14312.259765625,13895.0400390625,14312.259765625,4111600000.0
2009-01-13,13668.0498046875,14118.9296875,13644.5400390625,13930.26953125,3480900000.0
2009-01-14,13704.6103515625,14019.0302734375,13674.9599609375,13807.0302734375,1537700000.0
2009-01-15,13242.9599609375,13300.75,12904.0498046875,13136.23046875,4146200000.0
2009-01-16,13255.509765625,13423.240234375,13113.4501953125,13278.9697265625,3467100000.0
2009-01-19,13339.990234375,13519.1796875,13097.5,13414.08984375,2194400000.0
2009-01-20,12959.76953125,13160.8701171875,12816.25,12854.400390625,2521600000.0
2009-01-21,12583.6298828125,12762.5400390625,12439.1298828125,12534.599609375,3303900000.0
2009-01-22,12657.990234375,12895.25,12657.099609375,12844.3701171875,1878300000.0
2009-01-23,12578.599609375,12734.7998046875,12469.83984375,12542.009765625,2198200000.0
2009-01-26,12578.599609375,12734.7998046875,12469.83984375,12542.009765625,2198200000.0
2009-01-27,12578.599609375,12734.7998046875,12469.83984375,12542.009765625,2198200000.0
2009-01-28,12578.599609375,12734.7998046875,12469.83984375,12542.009765625,2198200000.0
2009-01-29,13154.4296875,13560.0703125,13109.26953125,13560.0703125,2662300000.0
2009-01-30,13278.2099609375,13390.1201171875,12899.5703125,12958.080078125,3689300000.0
2009-02-02,12861.490234375,13239.5,12733.349609375,13194.0,2005500000.0
2009-02-03,12776.8896484375,13065.9697265625,12729.0400390625,12991.490234375,1562200000.0
